date,Dengue,Zika,Chikungunya,Varicela
2016-08-22,338812.0625,71358.8203125,75111.796875,843377.3125
2016-08-29,339498.875,71610.6328125,75195.296875,845685.3125
2016-09-05,340148.0,71831.09375,75269.6875,848077.625
2016-09-12,340756.0,72021.0546875,75330.578125,850535.5625
2016-09-19,341328.3125,72179.4375,75383.609375,853081.375
2016-09-26,341841.59375,72323.8515625,75429.7734375,855720.375
2016-10-03,342329.3125,72456.6640625,75472.9140625,858492.0
2016-10-10,342766.5,72572.765625,75516.4453125,861293.5
2016-10-17,343170.71875,72672.3203125,75562.5234375,864019.6875
2016-10-24,343566.28125,72769.9765625,75611.0859375,866849.9375
2016-10-31,343938.875,72859.0703125,75658.71875,869607.875
2016-11-07,344296.21875,72945.59375,75699.140625,872360.3125
2016-11-14,344638.6875,73017.6875,75734.4609375,875050.9375
2016-11-21,344963.4375,73079.9453125,75773.34375,877692.3125
2016-11-28,345269.875,73137.21875,75810.328125,880115.9375
2016-12-05,345546.40625,73192.3359375,,882364.1875
2016-12-12,345799.875,73250.8515625,,884399.5
2016-12-19,346036.9375,73309.40625,,886233.0
2016-12-26,346257.75,73366.5859375,,887878.5
2017-01-02,346476.75,73415.0546875,75838.2578125,889298.625
2017-01-09,346719.9375,73465.28125,75870.4609375,890683.875
2017-01-16,346970.28125,73510.9296875,75908.359375,892034.375
2017-01-23,347232.15625,73567.421875,75945.59375,893454.25
2017-01-30,347479.03125,73633.78125,75979.4765625,894903.375
2017-02-06,347703.4375,73704.96875,76012.3125,896424.25
2017-02-13,347917.0625,73778.203125,76042.3359375,897990.0625
2017-02-20,348108.59375,73846.765625,76071.515625,899609.25
2017-02-27,348276.96875,73911.2734375,76095.8671875,901259.375
2017-03-06,348435.34375,73976.2734375,76118.0078125,903009.5
2017-03-13,348583.75,74040.1484375,76139.140625,904874.375
2017-03-20,348722.59375,74095.4296875,76159.890625,906792.5
2017-03-27,348856.53125,74140.4921875,76180.53125,908841.375
2017-04-03,348988.875,74183.984375,76200.75,910977.3125
2017-04-10,349118.0,74224.0703125,76219.4765625,913125.9375
2017-04-17,349244.0625,74262.140625,76235.984375,915232.9375
2017-04-24,349369.78125,74304.1796875,76255.8046875,917400.3125
2017-05-01,349499.65625,74346.3359375,76274.734375,919505.25
2017-05-08,349632.28125,74382.109375,76294.1953125,921643.625
2017-05-15,349766.1875,74415.9296875,76313.890625,923724.0
2017-05-22,349906.125,74449.28125,76333.765625,925799.3125
2017-05-29,350042.21875,74482.515625,76349.203125,927807.3125
2017-06-05,350187.71875,74511.7265625,76364.546875,929751.6875
2017-06-12,350338.5625,74540.5078125,76378.3671875,931616.1875
2017-06-19,350483.84375,74565.78125,76392.40625,933335.0
2017-06-26,350620.4375,74589.5625,76406.140625,934896.75
2017-07-03,350767.3125,74612.484375,76420.8359375,936373.4375
2017-07-10,350918.6875,74635.2109375,76437.359375,937814.375
2017-07-17,351069.375,74665.640625,76453.90625,939240.6875
2017-07-24,351216.5,74695.6171875,76468.671875,940656.6875
2017-07-31,351360.40625,74726.6484375,76482.4375,942092.75
2017-08-07,351500.65625,74752.703125,76495.6953125,943533.8125
2017-08-14,351647.09375,74777.890625,76511.5546875,945022.25
2017-08-21,351789.125,74801.4375,76527.671875,946546.625
2017-08-28,351920.25,74826.1796875,76542.359375,948136.875
2017-09-04,352050.5,74849.375,76555.3203125,949797.9375
2017-09-11,352180.3125,74871.0078125,76568.4453125,951460.9375
2017-09-18,352304.28125,74889.2578125,76581.34375,953185.75
2017-09-25,352446.0,74906.7578125,76594.578125,954925.8125
2017-10-02,352592.53125,74927.1015625,76611.7265625,956683.6875
2017-10-09,352729.96875,74945.09375,76626.0234375,958428.375
2017-10-16,352857.4375,74962.7265625,76639.8203125,960155.9375
2017-10-23,352980.40625,74979.4453125,76652.9921875,961959.6875
