SEMANA,ANO,Casos,DATE
33,2022,485,2022-08-15
34,2022,455,2022-08-22
35,2022,491,2022-08-29
36,2022,487,2022-09-05
37,2022,440,2022-09-12
38,2022,462,2022-09-19
39,2022,542,2022-09-26
40,2022,490,2022-10-03
41,2022,449,2022-10-10
42,2022,555,2022-10-17
43,2022,437,2022-10-24
44,2022,509,2022-10-31
45,2022,495,2022-11-07
46,2022,498,2022-11-14
47,2022,396,2022-11-21
48,2022,338,2022-11-28
49,2022,323,2022-12-05
50,2022,311,2022-12-12
51,2022,279,2022-12-19
52,2022,266,2022-12-26
1,2023,375,2023-01-02
2,2023,320,2023-01-09
3,2023,354,2023-01-16
4,2023,373,2023-01-23
5,2023,398,2023-01-30
6,2023,421,2023-02-06
7,2023,432,2023-02-13
8,2023,463,2023-02-20
9,2023,454,2023-02-27
10,2023,461,2023-03-06
11,2023,474,2023-03-13
12,2023,543,2023-03-20
13,2023,501,2023-03-27
14,2023,496,2023-04-03
15,2023,577,2023-04-10
16,2023,566,2023-04-17
17,2023,581,2023-04-24
18,2023,628,2023-05-01
19,2023,696,2023-05-08
20,2023,690,2023-05-15
21,2023,725,2023-05-22
22,2023,740,2023-05-29
23,2023,682,2023-06-05
24,2023,644,2023-06-12
25,2023,567,2023-06-19
26,2023,599,2023-06-26
27,2023,621,2023-07-03
28,2023,724,2023-07-10
29,2023,754,2023-07-17
30,2023,825,2023-07-24
31,2023,802,2023-07-31
32,2023,902,2023-08-07
33,2023,881,2023-08-14
34,2023,929,2023-08-21
35,2023,934,2023-08-28
36,2023,912,2023-09-04
37,2023,842,2023-09-11
38,2023,829,2023-09-18
39,2023,814,2023-09-25
40,2023,776,2023-10-02
41,2023,684,2023-10-09
42,2023,724,2023-10-16
43,2023,611,2023-10-23
44,2023,587,2023-10-30
45,2023,594,2023-11-06
46,2023,610,2023-11-13
47,2023,532,2023-11-20
48,2023,459,2023-11-27
49,2023,388,2023-12-04
50,2023,430,2023-12-11
51,2023,344,2023-12-18
52,2023,345,2023-12-25
